resource_id,skill_id,skill_name,title,platform,resource_type,difficulty,duration_hours,url,prerequisite
RES0022,SK010,Go,Go Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Go+documentation,Go
RES0023,SK011,Linear Algebra,Linear Algebra Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=Linear Algebra+course,
RES0024,SK011,Linear Algebra,Linear Algebra Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Linear Algebra+documentation,Linear Algebra
RES0025,SK012,Multivariate Calculus,Multivariate Calculus Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=Multivariate Calculus+course,
RES0026,SK012,Multivariate Calculus,Multivariate Calculus Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Multivariate Calculus+documentation,Multivariate Calculus
RES0027,SK013,Probability & Statistics,Probability & Statistics Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,25,https://www.google.com/search?q=Probability & Statistics+course,
RES0028,SK013,Probability & Statistics,Probability & Statistics Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Probability & Statistics+documentation,Probability & Statistics
RES0029,SK014,Hypothesis Testing & A/B Testing,Hypothesis Testing & A/B Testing Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,25,https://www.google.com/search?q=Hypothesis Testing & A/B Testing+course,
RES0030,SK014,Hypothesis Testing & A/B Testing,Hypothesis Testing & A/B Testing Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Hypothesis Testing & A/B Testing+documentation,Hypothesis Testing & A/B Testing
RES0031,SK015,Bayesian Inference,Bayesian Inference Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Bayesian Inference+course,
RES0032,SK015,Bayesian Inference,Bayesian Inference Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Bayesian Inference+documentation,Bayesian Inference
RES0033,SK016,Exploratory Data Analysis,Exploratory Data Analysis Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=Exploratory Data Analysis+course,
RES0034,SK016,Exploratory Data Analysis,Exploratory Data Analysis Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Exploratory Data Analysis+documentation,Exploratory Data Analysis
RES0035,SK017,Pandas & NumPy,Data Analysis with Python (Pandas & NumPy),freeCodeCamp,Course,Beginner,10,https://freecodecamp.org,Python
RES0036,SK017,Pandas & NumPy,Python for Data Analysis by Wes McKinney,O Reilly Book,Book,Intermediate,30,https://wesmckinney.com/book/,Python
RES0037,SK018,Scikit-Learn,Machine Learning Specialization by Andrew Ng,Coursera,Specialization,Intermediate,60,https://www.coursera.org/specializations/machine-learning-introduction,"Python,Linear Algebra"
RES0038,SK018,Scikit-Learn,"Hands-On Machine Learning with Scikit-Learn, Keras & TF (A. Geron)",O Reilly Book,Book,Intermediate,45,https://www.oreilly.com,Pandas & NumPy
RES0039,SK018,Scikit-Learn,Scikit-Learn Official User Guide & API Reference,Official Docs,Documentation,Intermediate,20,https://scikit-learn.org,Python
RES0040,SK019,Supervised Learning,Supervised Learning Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,25,https://www.google.com/search?q=Supervised Learning+course,
RES0041,SK019,Supervised Learning,Supervised Learning Official Documentation & Reference,Official Documentation,Documentation,Advanced,12,https://www.google.com/search?q=Supervised Learning+documentation,Supervised Learning
RES0042,SK020,Unsupervised Learning,Unsupervised Learning Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Unsupervised Learning+course,
RES0043,SK020,Unsupervised Learning,Unsupervised Learning Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Unsupervised Learning+documentation,Unsupervised Learning
RES0044,SK021,Feature Engineering,Feature Engineering for Machine Learning (Alice Zheng),O Reilly Book,Book,Intermediate,15,https://oreilly.com,Pandas & NumPy
RES0045,SK021,Feature Engineering,Feature Engineering & Selection (Kaggle Learn),Kaggle Learn,Interactive Tutorial,Beginner,8,https://www.kaggle.com/learn/feature-engineering,Scikit-Learn
RES0046,SK022,XGBoost & LightGBM,XGBoost & LightGBM Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=XGBoost & LightGBM+course,
RES0047,SK022,XGBoost & LightGBM,XGBoost & LightGBM Official Documentation & Reference,Official Documentation,Documentation,Advanced,12,https://www.google.com/search?q=XGBoost & LightGBM+documentation,XGBoost & LightGBM
RES0048,SK023,Model Evaluation & Cross-Validation,Model Evaluation & Cross-Validation Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=Model Evaluation & Cross-Validation+course,
RES0049,SK023,Model Evaluation & Cross-Validation,Model Evaluation & Cross-Validation Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Model Evaluation & Cross-Validation+documentation,Model Evaluation & Cross-Validation
RES0050,SK024,Time Series Forecasting,Time Series Forecasting Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,25,https://www.google.com/search?q=Time Series Forecasting+course,
RES0051,SK024,Time Series Forecasting,Time Series Forecasting Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Time Series Forecasting+documentation,Time Series Forecasting
RES0052,SK025,Neural Networks Fundamentals,Neural Networks Fundamentals Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Neural Networks Fundamentals+course,
RES0053,SK025,Neural Networks Fundamentals,Neural Networks Fundamentals Official Documentation & Reference,Official Documentation,Documentation,Advanced,12,https://www.google.com/search?q=Neural Networks Fundamentals+documentation,Neural Networks Fundamentals
RES0054,SK026,PyTorch,Deep Learning with PyTorch: Zero to GANs,freeCodeCamp,Course,Intermediate,18,https://jovian.ai,"Python,Linear Algebra"
RES0055,SK026,PyTorch,Deep Learning Specialization (DeepLearning.AI),Coursera,Specialization,Intermediate,75,https://deeplearning.ai,"Linear Algebra,Multivariate Calculus"
RES0056,SK026,PyTorch,Official PyTorch Tutorials & Recipes,Official Docs,Documentation,Intermediate,15,https://pytorch.org/tutorials/,Python
RES0057,SK027,TensorFlow & Keras,TensorFlow & Keras Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=TensorFlow & Keras+course,
RES0058,SK027,TensorFlow & Keras,TensorFlow & Keras Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=TensorFlow & Keras+documentation,TensorFlow & Keras
RES0059,SK028,Convolutional Neural Networks (CNN),Convolutional Neural Networks (CNN) Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,25,https://www.google.com/search?q=Convolutional Neural Networks (CNN)+course,
RES0060,SK028,Convolutional Neural Networks (CNN),Convolutional Neural Networks (CNN) Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Convolutional Neural Networks (CNN)+documentation,Convolutional Neural Networks (CNN)
RES0061,SK029,Computer Vision (OpenCV),"PyImageSearch OpenCV, Deep Learning & Vision Course",Tutorial,Course,Intermediate,25,https://pyimagesearch.com,"Python,Convolutional Neural Networks (CNN)"
RES0062,SK029,Computer Vision (OpenCV),Mastering Computer Vision with PyTorch and OpenCV,Udemy,Course,Intermediate,16,https://udemy.com,PyTorch
RES0063,SK030,Recurrent Neural Networks (RNN/LSTM),Recurrent Neural Networks (RNN/LSTM) Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=Recurrent Neural Networks (RNN/LSTM)+course,
RES0064,SK030,Recurrent Neural Networks (RNN/LSTM),Recurrent Neural Networks (RNN/LSTM) Official Documentation & Reference,Official Documentation,Documentation,Advanced,12,https://www.google.com/search?q=Recurrent Neural Networks (RNN/LSTM)+documentation,Recurrent Neural Networks (RNN/LSTM)
RES0065,SK031,Transformers & Attention Mechanisms,"Hugging Face NLP Course (Transformers, Tokenizers, Datasets)",Hugging Face Ecosystem,Course,Intermediate,30,https://huggingface.co/learn/nlp-course,PyTorch
RES0066,SK031,Transformers & Attention Mechanisms,Stanford CS224N: Natural Language Processing with Deep Learning,YouTube,Course,Advanced,40,https://web.stanford.edu/class/cs224n/,PyTorch
RES0067,SK032,Hugging Face Ecosystem,Hugging Face Ecosystem Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=Hugging Face Ecosystem+course,
RES0068,SK032,Hugging Face Ecosystem,Hugging Face Ecosystem Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Hugging Face Ecosystem+documentation,Hugging Face Ecosystem
RES0069,SK033,Large Language Models (LLMs),Generative AI with Large Language Models (AWS & DeepLearning.AI),Coursera,Course,Advanced,25,https://deeplearning.ai,Transformers & Attention Mechanisms
RES0070,SK033,Large Language Models (LLMs),Full Stack LLM Bootcamp,YouTube,Guided Project,Advanced,20,https://fullstackdeeplearning.com,"Python,Transformers & Attention Mechanisms"
RES0071,SK034,Retrieval-Augmented Generation (RAG),Building RAG Applications with LangChain & LlamaIndex,DeepLearning.AI,Course,Advanced,12,https://deeplearning.ai,Large Language Models (LLMs)
RES0072,SK034,Retrieval-Augmented Generation (RAG),Pinecone Vector Mastery & RAG Architecture,Official Docs,Interactive Tutorial,Intermediate,8,https://www.pinecone.io/learn/,Python
RES0073,SK035,Prompt Engineering & Fine-Tuning,Prompt Engineering & Fine-Tuning Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Prompt Engineering & Fine-Tuning+course,
RES0074,SK035,Prompt Engineering & Fine-Tuning,Prompt Engineering & Fine-Tuning Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Prompt Engineering & Fine-Tuning+documentation,Prompt Engineering & Fine-Tuning
RES0075,SK036,Natural Language Processing (NLP),Natural Language Processing (NLP) Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Natural Language Processing (NLP)+course,
RES0076,SK036,Natural Language Processing (NLP),Natural Language Processing (NLP) Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Natural Language Processing (NLP)+documentation,Natural Language Processing (NLP)
RES0077,SK037,Data Warehousing & Modeling,Data Warehousing & Modeling Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=Data Warehousing & Modeling+course,
RES0078,SK037,Data Warehousing & Modeling,Data Warehousing & Modeling Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Data Warehousing & Modeling+documentation,Data Warehousing & Modeling
RES0079,SK038,ETL / ELT Pipelines,ETL / ELT Pipelines Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=ETL / ELT Pipelines+course,
RES0080,SK038,ETL / ELT Pipelines,ETL / ELT Pipelines Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=ETL / ELT Pipelines+documentation,ETL / ELT Pipelines
RES0081,SK039,Apache Spark / PySpark,Spark and Python for Big Data with PySpark,Udemy,Course,Intermediate,15,https://www.udemy.com,"Python,SQL"
RES0082,SK039,Apache Spark / PySpark,Learning Spark: Lightning-Fast Data Analytics (2nd Ed),O Reilly Book,Book,Advanced,25,https://www.oreilly.com,Python
RES0083,SK040,Apache Kafka,Apache Kafka Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=Apache Kafka+course,
RES0084,SK040,Apache Kafka,Apache Kafka Official Documentation & Reference,Official Documentation,Documentation,Advanced,12,https://www.google.com/search?q=Apache Kafka+documentation,Apache Kafka
RES0085,SK041,Apache Airflow,Data Engineering with Apache Airflow,Coursera,Course,Intermediate,16,https://coursera.org,"Python,ETL / ELT Pipelines"
RES0086,SK041,Apache Airflow,Official Apache Airflow Fundamentals & Operators Guide,Official Docs,Documentation,Intermediate,10,https://airflow.apache.org,Python
RES0087,SK042,Snowflake,Snowflake Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=Snowflake+course,
RES0088,SK042,Snowflake,Snowflake Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Snowflake+documentation,Snowflake
RES0089,SK043,Databricks,Databricks Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=Databricks+course,
RES0090,SK043,Databricks,Databricks Official Documentation & Reference,Official Documentation,Documentation,Advanced,12,https://www.google.com/search?q=Databricks+documentation,Databricks
RES0091,SK044,DBT (Data Build Tool),DBT (Data Build Tool) Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=DBT (Data Build Tool)+course,
RES0092,SK044,DBT (Data Build Tool),DBT (Data Build Tool) Official Documentation & Reference,Official Documentation,Documentation,Advanced,12,https://www.google.com/search?q=DBT (Data Build Tool)+documentation,DBT (Data Build Tool)
RES0093,SK045,Hadoop & HDFS,Hadoop & HDFS Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Hadoop & HDFS+course,
RES0094,SK045,Hadoop & HDFS,Hadoop & HDFS Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Hadoop & HDFS+documentation,Hadoop & HDFS
RES0095,SK046,PostgreSQL / MySQL,PostgreSQL / MySQL Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=PostgreSQL / MySQL+course,
RES0096,SK046,PostgreSQL / MySQL,PostgreSQL / MySQL Official Documentation & Reference,Official Documentation,Documentation,Advanced,12,https://www.google.com/search?q=PostgreSQL / MySQL+documentation,PostgreSQL / MySQL
RES0097,SK047,NoSQL & MongoDB,NoSQL & MongoDB Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=NoSQL & MongoDB+course,
RES0098,SK047,NoSQL & MongoDB,NoSQL & MongoDB Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=NoSQL & MongoDB+documentation,NoSQL & MongoDB
RES0099,SK048,Redis & Caching,Redis & Caching Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Redis & Caching+course,
RES0100,SK048,Redis & Caching,Redis & Caching Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Redis & Caching+documentation,Redis & Caching
RES0101,SK049,Vector Databases (Chroma/Pinecone/Milvus),Vector Databases (Chroma/Pinecone/Milvus) Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=Vector Databases (Chroma/Pinecone/Milvus)+course,
RES0102,SK049,Vector Databases (Chroma/Pinecone/Milvus),Vector Databases (Chroma/Pinecone/Milvus) Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Vector Databases (Chroma/Pinecone/Milvus)+documentation,Vector Databases (Chroma/Pinecone/Milvus)
RES0103,SK050,Database Indexing & Query Tuning,Database Indexing & Query Tuning Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=Database Indexing & Query Tuning+course,
RES0104,SK050,Database Indexing & Query Tuning,Database Indexing & Query Tuning Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Database Indexing & Query Tuning+documentation,Database Indexing & Query Tuning
RES0105,SK051,Linux & Bash,Linux & Bash Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=Linux & Bash+course,
RES0106,SK051,Linux & Bash,Linux & Bash Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Linux & Bash+documentation,Linux & Bash
RES0107,SK052,Docker & Containerization,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,Udemy,Course,Intermediate,21,https://www.udemy.com,Linux & Bash
RES0108,SK052,Docker & Containerization,Docker Official Get-Started Workshop,Official Docs,Interactive Tutorial,Beginner,6,https://docs.docker.com/get-started/,
RES0109,SK053,Kubernetes,Certified Kubernetes Administrator (CKA) with Practice Tests,Udemy,Course,Advanced,22,https://www.udemy.com,Docker & Containerization
RES0110,SK053,Kubernetes,Kubernetes Up & Running (K. Hightower),O Reilly Book,Book,Advanced,18,https://www.oreilly.com,Docker & Containerization
RES0111,SK054,"AWS (S3, EC2, Lambda, SageMaker)",AWS Certified Machine Learning Specialty Course,Udemy,Specialization,Intermediate,35,https://www.udemy.com,"Python,Scikit-Learn"
RES0112,SK054,"AWS (S3, EC2, Lambda, SageMaker)",AWS SageMaker Hands-On MLOps Workshop,Official Docs,Guided Project,Intermediate,10,https://aws.amazon.com/sagemaker/,Python
RES0113,SK055,"Azure (ADF, Databricks, Azure ML)","Azure (ADF, Databricks, Azure ML) Comprehensive Masterclass & Projects",Coursera / freeCodeCamp,Course,Intermediate,25,"https://www.google.com/search?q=Azure (ADF, Databricks, Azure ML)+course",
RES0114,SK055,"Azure (ADF, Databricks, Azure ML)","Azure (ADF, Databricks, Azure ML) Official Documentation & Reference",Official Documentation,Documentation,Advanced,12,"https://www.google.com/search?q=Azure (ADF, Databricks, Azure ML)+documentation","Azure (ADF, Databricks, Azure ML)"
RES0115,SK056,Google Cloud Platform (GCP & BigQuery),Google Cloud Platform (GCP & BigQuery) Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Google Cloud Platform (GCP & BigQuery)+course,
RES0116,SK056,Google Cloud Platform (GCP & BigQuery),Google Cloud Platform (GCP & BigQuery) Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Google Cloud Platform (GCP & BigQuery)+documentation,Google Cloud Platform (GCP & BigQuery)
RES0117,SK057,CI/CD Pipelines (GitHub Actions),CI/CD Pipelines (GitHub Actions) Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=CI/CD Pipelines (GitHub Actions)+course,
RES0118,SK057,CI/CD Pipelines (GitHub Actions),CI/CD Pipelines (GitHub Actions) Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=CI/CD Pipelines (GitHub Actions)+documentation,CI/CD Pipelines (GitHub Actions)
RES0119,SK058,MLflow & Experiment Tracking,"MLOps Bootcamp: Hands-on MLflow, DVC, and Deployment",Udemy,Course,Intermediate,14,https://www.udemy.com,"Scikit-Learn,Docker & Containerization"
RES0120,SK058,MLflow & Experiment Tracking,Official MLflow Quickstart & Registry Docs,Official Docs,Documentation,Intermediate,6,https://mlflow.org/docs/latest/,Python
RES0121,SK059,DVC (Data Version Control),DVC (Data Version Control) Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=DVC (Data Version Control)+course,
RES0122,SK059,DVC (Data Version Control),DVC (Data Version Control) Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=DVC (Data Version Control)+documentation,DVC (Data Version Control)
RES0123,SK060,Model Serving & FastAPI,Model Serving & FastAPI Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=Model Serving & FastAPI+course,
RES0124,SK060,Model Serving & FastAPI,Model Serving & FastAPI Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Model Serving & FastAPI+documentation,Model Serving & FastAPI
RES0125,SK061,Power BI & DAX,Microsoft Power BI Desktop for Business Intelligence,Udemy,Course,Beginner,18,https://www.udemy.com,SQL
RES0126,SK061,Power BI & DAX,DAX Formulas for Power BI Tutorial (SQLBI Marco Russo),YouTube,Tutorial,Intermediate,12,https://www.sqlbi.com,Power BI & DAX
RES0127,SK062,Tableau,Tableau 2024 A-Z: Hands-On Tableau Training For Data Science,Udemy,Course,Beginner,9,https://www.udemy.com,
RES0128,SK062,Tableau,Tableau Official Visual Best Practices Guide,Official Docs,Documentation,Beginner,5,https://www.tableau.com,
RES0129,SK063,Plotly & Dash / Streamlit,Plotly & Dash / Streamlit Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Plotly & Dash / Streamlit+course,
RES0130,SK063,Plotly & Dash / Streamlit,Plotly & Dash / Streamlit Official Documentation & Reference,Official Documentation,Documentation,Advanced,12,https://www.google.com/search?q=Plotly & Dash / Streamlit+documentation,Plotly & Dash / Streamlit
RES0131,SK064,Matplotlib & Seaborn,Matplotlib & Seaborn Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Matplotlib & Seaborn+course,
RES0132,SK064,Matplotlib & Seaborn,Matplotlib & Seaborn Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Matplotlib & Seaborn+documentation,Matplotlib & Seaborn
RES0133,SK065,Advanced Excel & VBA,Advanced Excel & VBA Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=Advanced Excel & VBA+course,
RES0134,SK065,Advanced Excel & VBA,Advanced Excel & VBA Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Advanced Excel & VBA+documentation,Advanced Excel & VBA
RES0135,SK066,Data Storytelling & KPI Dashboards,Data Storytelling & KPI Dashboards Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Data Storytelling & KPI Dashboards+course,
RES0136,SK066,Data Storytelling & KPI Dashboards,Data Storytelling & KPI Dashboards Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Data Storytelling & KPI Dashboards+documentation,Data Storytelling & KPI Dashboards
RES0137,SK067,Data Structures & Algorithms,Data Structures & Algorithms Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,25,https://www.google.com/search?q=Data Structures & Algorithms+course,
RES0138,SK067,Data Structures & Algorithms,Data Structures & Algorithms Official Documentation & Reference,Official Documentation,Documentation,Advanced,12,https://www.google.com/search?q=Data Structures & Algorithms+documentation,Data Structures & Algorithms
RES0139,SK068,Git & GitHub,Git & GitHub Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,25,https://www.google.com/search?q=Git & GitHub+course,
RES0140,SK068,Git & GitHub,Git & GitHub Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Git & GitHub+documentation,Git & GitHub
RES0141,SK069,System Design & Distributed Systems,System Design & Distributed Systems Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=System Design & Distributed Systems+course,
RES0142,SK069,System Design & Distributed Systems,System Design & Distributed Systems Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=System Design & Distributed Systems+documentation,System Design & Distributed Systems
RES0143,SK070,RESTful API Design,RESTful API Design Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=RESTful API Design+course,
RES0144,SK070,RESTful API Design,RESTful API Design Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=RESTful API Design+documentation,RESTful API Design
RES0145,SK071,Problem Solving & Critical Thinking,Problem Solving & Critical Thinking Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Problem Solving & Critical Thinking+course,
RES0146,SK071,Problem Solving & Critical Thinking,Problem Solving & Critical Thinking Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Problem Solving & Critical Thinking+documentation,Problem Solving & Critical Thinking
RES0147,SK072,Stakeholder Communication,Stakeholder Communication Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,25,https://www.google.com/search?q=Stakeholder Communication+course,
